"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This method will create  a pet","SUCCESS","2023-01-04T01:51:42.709Z[Europe/London]","0.0","5.18"
"User CRUD test","This method will create a user","SUCCESS","2023-01-04T01:51:42.709Z[Europe/London]","0.0","5.18"
"User CRUD test","This method will verify that user is created","SUCCESS","2023-01-04T01:51:47.923Z[Europe/London]","0.0","0.74"
"User CRUD test","This method will update a user and verify that user is created","SUCCESS","2023-01-04T01:51:48.664Z[Europe/London]","0.0","0.53"
"Pet CRUD test","This method will update a pet","SUCCESS","2023-01-04T01:51:48.870Z[Europe/London]","0.0","0.57"
"User CRUD test","This method will delete user","SUCCESS","2023-01-04T01:51:49.198Z[Europe/London]","0.0","0.98"
"Pet CRUD test","This method will delete pet","SUCCESS","2023-01-04T01:51:49.435Z[Europe/London]","0.0","0.49"
