"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This method will create  a pet","SUCCESS","2023-01-04T01:51:42.709Z[Europe/London]","0.0","5.18"
"Pet CRUD test","This method will verify that pet is created","FAILURE","2023-01-04T01:51:47.923Z[Europe/London]","0.0","0.84"
"Pet CRUD test","This method will update a pet","SUCCESS","2023-01-04T01:51:48.870Z[Europe/London]","0.0","0.57"
"Pet CRUD test","This method will delete pet","SUCCESS","2023-01-04T01:51:49.435Z[Europe/London]","0.0","0.49"
